Title@"Durata Curs"@investitie@Permalink
"Măsurarea eficacității unui sistem de management al calității"@"1 zile"@"200 euro"@https://tuvkarpat.ro/cursuri/masurarea-eficacitatii-unui-sistem-de-management-al-calitatii/
"Costurile Calității"@"2 zile"@"250 euro "@https://tuvkarpat.ro/cursuri/costurile-calitatii/
"Manager pentru sistemul de management al mediului SR EN ISO 14001:2026"@"3 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/manager-mediu-iso-14001/
"Specialist pentru sistemul de management al calității SR EN ISO 9001:2015"@"2 zile"@"200 euro"@https://tuvkarpat.ro/cursuri/specialist-management-calitate-iso-9001/
"Manager pentru sistemul de management al calității SR EN ISO 9001:2015"@"3 zile"@"250 euro "@https://tuvkarpat.ro/cursuri/manager-calitate-iso-9001/
"Auditor pentru sistemul de management al calității SR EN ISO 9001:2015"@"3 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/auditor-calitate-iso-9001/
"Ghid pentru auditarea sistemelor de management SR EN ISO 19011:2026"@"1 zi"@"200 euro"@https://tuvkarpat.ro/cursuri/ghid-auditare-19011/
"Indicatori de performanță bazat pe SR EN ISO 9001:2015"@"1 zi"@"200 euro"@https://tuvkarpat.ro/cursuri/indicatori-de-performanta-iso-9001/
"Auditor pentru sistemul de management al mediului SR EN ISO 14001:2026"@"3 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/auditor-mediu-iso-14001/
"Specialist pentru sistemul de management al mediului SR EN ISO 14001:2026"@"2 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/specialist-pentru-sistemul-de-management-al-mediului-sr-en-iso-140012026/
"Specialist în managementul deșeurilor"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/specialist-in-managementul-deseurilor/
"Audit în managementul deșeurilor"@"2 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/audit-in-managementul-deseurilor-conform-legii-211-2011/
"ISCC - International Sustainability Carbon Certification"@"2 zile"@"220 euro"@https://tuvkarpat.ro/cursuri/iscc-international-sustainability-carbon-certification/
"Responsabil Mediu (ISO 14001)"@"3 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/responsabil-mediu-iso-14001/
"Managementul substanțelor periculoase"@"2 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/managementul-substantelor-periculoase/
"Specialist pentru sistemul de management al sănătății și securității în muncă SR EN ISO 45001:2023"@"2 zile"@"200 euro"@https://tuvkarpat.ro/cursuri/specialist-pentru-sistemul-de-management-al-sanatatii-si-securitatii-in-munca-sr-en-iso-450012023/
"Manager pentru sistemul de management al sănătății și securității în muncă SR EN ISO 45001:2023"@"3 zile "@"300 euro"@https://tuvkarpat.ro/cursuri/manager-pentru-sistemul-de-management-al-sanatatii-si-securitatii-in-munca-sr-en-iso-450012023/
"Auditor pentru sistemul de management al sănătății și securității în muncă SR EN ISO 45001:2023"@"3 zile"@"300 euro"@https://tuvkarpat.ro/cursuri/auditor-pentru-sistemul-de-management-al-sanatatii-si-securitatii-in-munca-sr-en-iso-450012023/
"Auditor Intern BRCGS Food versiunea 9"@"3 zile"@"270 euro"@https://tuvkarpat.ro/cursuri/auditor-intern-brcgs-food-versiunea-9/
"Fraudă și apărarea (securitatea) alimentului"@"2 zile"@"250 euro"@https://tuvkarpat.ro/cursuri/frauda-si-apararea-securitatea-alimentului/
"Prezentare cerințe BRCGS Food versiunea 9"@"2 zile"@"220 euro"@https://tuvkarpat.ro/cursuri/prezentare-cerinte-brcgs-food-versiunea-9/
"Manager pentru sistemul de management al siguranței alimentului HACCP/SR EN ISO 22000:2019/ FSSC 22000 versiunea 7"@"4 zile"@"320 euro"@https://tuvkarpat.ro/cursuri/manager-pentru-sistemul-de-management-al-sigurantei-alimentului-haccp-iso-22000-fssc-22000/
"Auditor pentru sistemul de management al siguranței alimentelor SR EN ISO 22000:2019"@"3 zile"@"280 euro"@https://tuvkarpat.ro/cursuri/auditor-pentru-sistemul-de-management-al-sigurantei-alimentelor-iso-220002018/
"Auditor al sistemului de management al siguranței alimentului SR EN ISO 22000:2019 și FSSC 22000 versiunea 7"@"4 zile"@"320 euro"@https://tuvkarpat.ro/cursuri/auditor-al-sistemului-de-management-al-sigurantei-alimentului-iso-22000-si-fssc-22000/
